CountryName,capital,population,coach,Player_Lname,Player_Fname,Height,BirthDate,isCaptain,Position,no_Yellow_cards,no_Red_cards,no_Goals,no_Assists,Year,Host,Winner
Algeria,Algiers,39.9,Vahid Halilhodzic,BRAHIMI,YACINE,171,08-02-1990,FALSE,Midfielder,0,0,1,1,117,Uruguay,Uruguay
Algeria,Algiers,39.9,Vahid Halilhodzic,FEGHOULI,SOFIANE,177,26-12-1989,FALSE,Forward,0,0,1,1,1934,Italy,Italy
Algeria,Algiers,39.9,Vahid Halilhodzic,TAIDER,SAPHIR,179,29-02-1992,FALSE,Midfielder,0,0,0,0,1938,France,Italy
Algeria,Algiers,39.9,Vahid Halilhodzic,MAHREZ,RIYAD,179,21-02-1991,FALSE,Forward,0,0,0,0,1950,Brazil,Uruguay
Algeria,Algiers,39.9,Vahid Halilhodzic,MBOLHI,RAIS,186,25-04-1986,FALSE,Goalkeeper,0,0,0,0,1954,Switzerland,Germany
Algeria,Algiers,39.9,Vahid Halilhodzic,HALLICHE,RAFIK,187,02-09-1986,FALSE,Defender,1,0,1,0,1958,Sweden,Brazil
Algeria,Algiers,39.9,Vahid Halilhodzic,GHILAS,NABIL,183,20-04-1990,FALSE,Forward,1,0,0,0,1962,Chile,Brazil
Algeria,Algiers,39.9,Vahid Halilhodzic,BENTALEB,NABIL,189,24-11-1994,FALSE,Midfielder,1,0,0,0,1966,England,England
Algeria,Algiers,39.9,Vahid Halilhodzic,ZEMMAMOUCHE,MOHAMED,187,19-03-1985,FALSE,Goalkeeper,0,0,0,0,1970,Mexico,Brazil
Algeria,Algiers,39.9,Vahid Halilhodzic,MOSTEFA,MEHDI,182,30-08-1983,FALSE,Midfielder,0,0,0,0,1974,Germany,Germany
Algeria,Algiers,39.9,Vahid Halilhodzic,LACEN,MEDHI,175,15-03-1984,FALSE,Midfielder,0,0,0,0,1978,Argentina,Argentina
Algeria,Algiers,39.9,Vahid Halilhodzic,BOUGUERRA,MADJID,189,07-10-1982,TRUE,Defender,1,0,0,0,1982,Spain,Italy
Algeria,Algiers,39.9,Vahid Halilhodzic,CADAMURO,LIASSINE,187,05-03-1988,FALSE,Defender,1,0,0,0,1986,Mexico,Argentina
Algeria,Algiers,39.9,Vahid Halilhodzic,SLIMANI,ISLAM,188,18-06-1988,FALSE,Forward,0,0,2,1,1990,Italy,Germany
Algeria,Algiers,39.9,Vahid Halilhodzic,YEBDA,HASSAN,188,14-05-1984,FALSE,Midfielder,0,0,0,0,1994,USA,Brazil
Algeria,Algiers,39.9,Vahid Halilhodzic,GHOULAM,FAOUZI,184,01-02-1991,FALSE,Defender,0,0,0,0,1998,France,France
Algeria,Algiers,39.9,Vahid Halilhodzic,BELKALEM,ESSEID,190,01-01-1989,FALSE,Defender,0,0,0,0,2002,South Korea,Brazil
Algeria,Algiers,39.9,Vahid Halilhodzic,ARABI SOUDANI,EL,177,25-11-1987,FALSE,Forward,0,0,0,0,2006,Germany,Italy
Algeria,Algiers,39.9,Vahid Halilhodzic,MESBAH,DJAMEL,179,09-10-1984,FALSE,Defender,1,0,0,0,2010,South Africa,Spain
Algeria,Algiers,39.9,Vahid Halilhodzic,SI MOHAMMED,CEDRIC,182,09-01-1985,FALSE,Goalkeeper,0,0,0,0,2014,Brazil,Germany
Algeria,Algiers,39.9,Vahid Halilhodzic,MEDJANI,CARL,180,15-05-1985,FALSE,Defender,0,0,0,1,,,
