match_date,team1,team2,score1,score2,stadium,city
12-06-2014,Brazil,Croatia,3,1,Arena de Sao Paulo,Sao Paulo
13-06-2014,Mexico,Cameroon,1,0,Estadio das Dunas,Natal
13-06-2014,Spain,Netherlands,1,5,Arena Fonte Nova,Salvador
13-06-2014,Chile,Australia,3,1,Arena Pantanal,Cuiaba
14-06-2014,Columbia,Greece,3,0,Estadio Mineirao,Belo Horizonte
14-06-2014,Ivory Coast,Japan,2,1,Arena Pernamuco,Recife
14-06-2014,Uruguay,Costa Rica,1,3,Estadio Castelao,Fortaleza
14-06-2014,England,Italy,1,2,Arena Amazonia,Manaus
15-06-2014,Switzerland,Ecuador,2,1,Estadio Nacional,Brasilia
15-06-2014,France,Honduras,3,0,Estadio Beira-Rio,Porto Alegre
15-06-2014,Argentina,Bosnia & Herzegovina,2,1,Estadio do Maracana,Rio De Janerio
16-06-2014,Iran,Nigeria,0,0,Arena Da Baixada,Curitiba
16-06-2014,Germany,Portugal,4,0,Arena Fonte Nova,Salvador
16-06-2014,Ghana,USA,1,2,Estadio das Dunas,Natal
17-06-2014,Belgium,Algeria,2,1,Estadio Mineirao,Belo Horizonte
17-06-2014,Russia,South Korea,1,1,Arena Pantanal,Cuiaba
17-06-2014,Brazil,Mexico,0,0,Estadio Castelao,Fortaleza
18-06-2014,Cameroon,Croatia,0,4,Arena Amazonia,Manaus
18-06-2014,Spain,Chile,0,2,Estadio do Maracana,Rio De Janerio
18-06-2014,Australia,Netherlands,2,3,Estadio Beira-Rio,Porto Alegre
19-06-2014,Columbia,Ivory Coast,2,1,Estadio Nacional,Brasilia
19-06-2014,Japan,Greece,0,0,Estadio das Dunas,Natal
19-06-2014,Uruguay,England,2,1,Arena de Sao Paulo,Sao Paulo
20-06-2014,Italy,Costa Rica,0,1,Arena Pernamuco,Recife
20-06-2014,Switzerland,France,2,5,Arena Fonte Nova,Salvador
20-06-2014,Honduras,Ecuador,1,2,Arena Da Baixada,Curitiba
21-06-2014,Argentina,Iran,1,0,Estadio Mineirao,Belo Horizonte
21-06-2014,Nigeria,Bosnia & Herzegovina,1,0,Arena Pantanal,Cuiaba
21-06-2014,Germany,Ghana,2,2,Estadio Castelao,Fortaleza
22-06-2014,USA,Portugal,2,2,Arena Amazonia,Manaus
22-06-2014,Belgium,Russia,1,0,Estadio do Maracana,Rio De Janerio
22-06-2014,South Korea,Algeria,2,4,Estadio Beira-Rio,Porto Alegre
23-06-2014,Cameroon,Brazil,1,4,Estadio Nacional,Brasilia
23-06-2014,Croatia,Mexico,1,3,Arena Pernamuco,Recife
23-06-2014,Australia,Spain,0,3,Arena Da Baixada,Curitiba
23-06-2014,Netherlands,Chile,2,0,Arena de Sao Paulo,Sao Paulo
24-06-2014,Japan,Columbia,1,4,Arena Pantanal,Cuiaba
24-06-2014,Greece,Ivory Coast,2,1,Estadio Castelao,Fortaleza
24-06-2014,Italy,Uruguay,0,1,Estadio das Dunas,Natal
24-06-2014,Costa Rica,England,0,0,Estadio Mineirao,Belo Horizonte
25-06-2014,Honduras,Switzerland,0,3,Arena Amazonia,Manaus
25-06-2014,Ecuador,France,0,0,Estadio do Maracana,Rio De Janerio
25-06-2014,Nigeria,Argentina,2,3,Estadio Beira-Rio,Porto Alegre
25-06-2014,Bosnia & Herzegovina,Iran,3,1,Arena Fonte Nova,Salvador
26-06-2014,USA,Germany,0,1,Arena Pernamuco,Recife
26-06-2014,Portugal,Ghana,2,1,Estadio Nacional,Brasilia
26-06-2014,South Korea,Belgium,0,1,Arena de Sao Paulo,Sao Paulo
26-06-2014,Algeria,Russia,1,1,Arena Da Baixada,Curitiba
28-06-2014,Brazil,Chile,1,1,Estadio Mineirao,Belo Horizonte
28-06-2014,Columbia,Uruguay,2,0,Estadio do Maracana,Rio De Janerio
29-06-2014,Netherlands,Mexico,2,1,Estadio Castelao,Fortaleza
29-06-2014,Costa Rica,Greece,1,1,Arena Pernamuco,Recife
30-06-2014,France,Nigeria,2,0,Estadio Nacional,Brasilia
30-06-2014,Germany,Algeria,2,1,Estadio Beira-Rio,Porto Alegre
01-07-2014,Argentina,Switzerland,1,0,Arena de Sao Paulo,Sao Paulo
01-07-2014,Belgium,USA,2,1,Arena Fonte Nova,Salvador
04-07-2014,Brazil,Columbia,2,1,Estadio Castelao,Fortaleza
04-07-2014,France,Germany,0,1,Estadio do Maracana,Rio De Janerio
05-07-2014,Netherlands,Costa Rica,0,0,Arena Fonte Nova,Salvador
05-07-2014,Argentina,Belgium,1,0,Estadio Nacional,Brasilia
08-07-2014,Brazil,Germany,1,7,Estadio Mineirao,Belo Horizonte
09-07-2014,Netherlands,Argentina,0,0,Arena de Sao Paulo,Sao Paulo
12-07-2014,Brazil,Netherlands,0,3,Estadio Nacional,Brasilia
13-07-2014,Germany,Argentina,1,0,Estadio do Maracana,Rio De Janerio
